iter	Logloss
0	0.6880226009
1	0.6824242349
2	0.6768883829
3	0.6708570025
4	0.6654974164
5	0.6602058356
6	0.654926918
7	0.6499275965
8	0.6453037001
9	0.6399764009
10	0.6348929155
11	0.6297645855
12	0.6254630672
13	0.6206844623
14	0.6165438296
15	0.6121223203
16	0.6070378645
17	0.6032530254
18	0.5991479551
19	0.5945578038
20	0.590238978
21	0.5865106423
22	0.5824563077
23	0.5792190317
24	0.5753254625
25	0.5723765333
26	0.5684274392
27	0.565449302
28	0.5623355871
29	0.558692321
30	0.5561127993
31	0.5530521831
32	0.5505928262
33	0.5477512658
34	0.5452625713
35	0.5419366416
36	0.5395130037
37	0.5365738876
38	0.5338974523
39	0.5318223549
40	0.5295662896
41	0.5267828453
42	0.5232928372
43	0.5204068495
44	0.5176611974
45	0.514896407
46	0.5123126472
47	0.5097111549
48	0.5071482844
49	0.5045935061
50	0.5018734871
51	0.4995320053
52	0.4969953101
53	0.4953213644
54	0.4934117493
55	0.4908569458
56	0.4884413187
57	0.4865363795
58	0.4844054843
59	0.4817309985
60	0.4793004639
61	0.4774015991
62	0.4751572103
63	0.4732997992
64	0.4720749422
65	0.4698351467
66	0.4679239849
67	0.4662794349
68	0.4638555711
69	0.46205663
70	0.4609461543
71	0.4588477785
72	0.4566554457
73	0.4553631873
74	0.453613078
75	0.4520018189
76	0.4510116969
77	0.4489669669
78	0.4474674376
79	0.4464007361
80	0.4443390321
81	0.443084921
82	0.4418514663
83	0.4404244476
84	0.4396136557
85	0.4379122391
86	0.4364633291
87	0.4350065775
88	0.4336034518
89	0.4328950539
90	0.4315453404
91	0.4301547793
92	0.4294685788
93	0.4280390271
94	0.426586585
95	0.4251251111
96	0.4236371935
97	0.4221758787
98	0.4216351135
99	0.4205439564
