iter	Passed	Remaining
0	6	633
1	33	1646
2	50	1634
3	58	1397
4	64	1232
5	70	1102
6	75	996
7	76	883
8	80	818
9	84	764
10	88	716
11	92	676
12	93	625
13	97	596
14	99	564
15	103	542
16	107	524
17	108	495
18	112	479
19	116	465
20	120	451
21	123	437
22	127	425
23	128	406
24	132	396
25	133	380
26	137	371
27	140	360
28	143	351
29	147	343
30	148	329
31	150	319
32	151	307
33	152	296
34	154	286
35	157	280
36	159	270
37	162	265
38	166	259
39	167	250
40	168	242
41	171	237
42	175	232
43	179	227
44	183	224
45	187	220
46	191	215
47	194	210
48	198	206
49	202	202
50	205	197
51	209	193
52	212	188
53	214	182
54	218	178
55	221	174
56	225	170
57	227	164
58	231	160
59	234	156
60	238	152
61	243	149
62	247	145
63	250	141
64	251	135
65	255	131
66	258	127
67	261	122
68	264	118
69	268	114
70	269	110
71	272	106
72	276	102
73	280	98
74	283	94
75	287	90
76	288	86
77	291	82
78	295	78
79	296	74
80	300	70
81	302	66
82	304	62
83	309	58
84	310	54
85	314	51
86	318	47
87	322	43
88	326	40
89	327	36
90	331	32
91	334	29
92	335	25
93	339	21
94	343	18
95	346	14
96	350	10
97	354	7
98	355	3
99	358	0
