iter	Logloss
0	0.688746585
1	0.6840940559
2	0.6800987502
3	0.6760724064
4	0.6720626289
5	0.6680647902
6	0.664514581
7	0.6608928642
8	0.6573926049
9	0.6535943534
10	0.6494654045
11	0.6462963794
12	0.642691946
13	0.6394603312
14	0.6362096819
15	0.6328013856
16	0.6296383212
17	0.6263333367
18	0.6231892758
19	0.6200183987
20	0.6169716107
21	0.6138328294
22	0.6108240147
23	0.607797653
24	0.6047636814
25	0.601890439
26	0.5988551785
27	0.5964318012
28	0.593332084
29	0.590691159
30	0.5881956973
31	0.585437098
32	0.5829610489
33	0.5805706547
34	0.5778526205
35	0.5750682296
36	0.5723207669
37	0.5702791468
38	0.5677960915
39	0.5654809961
40	0.5630372815
41	0.5611437365
42	0.5592332227
43	0.5573076716
44	0.5547912596
45	0.5530202329
46	0.5505736119
47	0.5481365019
48	0.5459748602
49	0.5440927672
50	0.5422216331
51	0.5404339573
52	0.538645993
53	0.5362776486
54	0.534430601
55	0.5324099167
56	0.5307810339
57	0.5286871007
58	0.5272645499
59	0.5258556778
60	0.5240206017
61	0.5224141051
62	0.5207705792
63	0.5187591227
64	0.5171258957
65	0.5154810403
66	0.5140498243
67	0.512445175
68	0.5104907818
69	0.5089067945
70	0.5072442479
71	0.5055779027
72	0.5043555354
73	0.5027103399
74	0.5013307898
75	0.4998599196
76	0.4981490538
77	0.4965782542
78	0.4950063387
79	0.4936836659
80	0.492371608
81	0.4909791285
82	0.48975064
83	0.4888050752
84	0.4877928016
85	0.4864050913
86	0.4852841831
87	0.4843123118
88	0.4829981699
89	0.4819397265
90	0.4804686486
91	0.4798862237
92	0.4785219489
93	0.4772565834
94	0.4761082562
95	0.4749368065
96	0.4741128586
97	0.4731952527
98	0.4724377624
99	0.4714516688
100	0.4708515967
101	0.4699558595
102	0.468963443
103	0.4678697858
104	0.4666597018
105	0.4657051466
106	0.4648577742
107	0.46364513
108	0.4624368616
109	0.4612979339
110	0.4602878688
111	0.4591425507
112	0.4580867346
113	0.4574259945
114	0.4564611717
115	0.4554830965
116	0.4543944861
117	0.4534772865
118	0.4526321349
119	0.4515451704
120	0.4508500041
121	0.4499478148
122	0.4494171379
123	0.448377861
124	0.4474497581
125	0.4469691932
126	0.4462347578
127	0.4454325677
128	0.4445414271
129	0.4440100954
130	0.443324931
131	0.4425940847
132	0.441615115
133	0.4406735341
134	0.4398410734
135	0.4388352905
136	0.4381634844
137	0.4372258662
138	0.4364029683
139	0.4358275429
140	0.4350800942
141	0.4343381659
142	0.4336074813
143	0.4328401853
144	0.4324385686
145	0.4315780296
146	0.4309870485
147	0.4301561948
148	0.4294831019
149	0.4288297739
150	0.4280898132
151	0.4271948904
152	0.4267820342
153	0.4261152703
154	0.4256224943
155	0.4249975973
156	0.424220687
157	0.4235532273
158	0.422840346
159	0.4220754564
160	0.4212438393
161	0.4208934257
162	0.4204323898
163	0.4199109072
164	0.4191349256
165	0.4186818086
166	0.4179300742
167	0.417533984
168	0.4166923647
169	0.4160990612
170	0.4155467043
